title,date,days,tokens,stem,lemma,pos_tags,named_entities
Deep Advances in Generative Modeling,6 points by gwulfs 5 hours ago  | discuss,1,"deep,advances,generative,modeling",Deep Advances in Generative Model,Deep Advances in Generative Modeling,"[('Deep', 'JJ'), ('Advances', 'NNS'), ('in', 'IN'), ('Generative', 'NNP'), ('Modeling', 'NNP')]",['Generative Modeling']
A Neural Network in 11 lines of Python ,2 points by dekhtiar 5 hours ago  | discuss,1,"neural,network,11,lines,python",A Neural Network in 11 lines of Python ,A Neural Network in 11 lines of Python ,"[('A', 'DT'), ('Neural', 'NNP'), ('Network', 'NNP'), ('in', 'IN'), ('11', 'CD'), ('lines', 'NNS'), ('of', 'IN'), ('Python', 'NNP')]",['Python']
"Python, Machine Learning, and Language Wars",3 points by pmigdal 7 hours ago  | discuss,1,"python,machine,learning,language,wars","Python, Machine Learning, and Language War","Python, Machine Learning, and Language Wars","[('Python', 'NNP'), (',', ','), ('Machine', 'NNP'), ('Learning', 'NNP'), (',', ','), ('and', 'CC'), ('Language', 'NNP'), ('Wars', 'NNP')]","['Python', 'Machine Learning', 'Language Wars']"
Markov Chains Explained Visually,11 points by zeroviscosity 1 day ago  | 1 comment,1,"markov,chains,explained,visually",Markov Chains Explained Visu,Markov Chains Explained Visually,"[('Markov', 'NNP'), ('Chains', 'NNP'), ('Explained', 'VBD'), ('Visually', 'NNP')]","['Markov Chains', 'Visually']"
Dplython: Dplyr for Python,10 points by thenaturalist 1 day ago  | 3 comments,1,"dplython,dplyr,python",Dplython: Dplyr for Python,Dplython: Dplyr for Python,"[('Dplython', 'NN'), (':', ':'), ('Dplyr', 'NNP'), ('for', 'IN'), ('Python', 'NNP')]","['Dplython', 'Python']"
Inferring causal impact using Bayesian structural time-series models,7 points by Homunculiheaded 1 day ago  | 1 comment,1,"inferring,causal,impact,using,bayesian,structural,time,series,models",Inferring causal impact using Bayesian structural time-series model,Inferring causal impact using Bayesian structural time-series models,"[('Inferring', 'VBG'), ('causal', 'JJ'), ('impact', 'NN'), ('using', 'VBG'), ('Bayesian', 'JJ'), ('structural', 'JJ'), ('time', 'NN'), ('-', ':'), ('series', 'NN'), ('models', 'NNS')]",['Bayesian']
Tutorial: Web scraping and mapping breweries with import.io and R,4 points by jasdumas 1 day ago  | discuss,1,"tutorial,web,scraping,mapping,breweries,import,io,r",Tutorial: Web scraping and mapping breweries with import.io and R,Tutorial: Web scraping and mapping breweries with import.io and R,"[('Tutorial', 'JJ'), (':', ':'), ('Web', 'JJ'), ('scraping', 'NN'), ('and', 'CC'), ('mapping', 'NN'), ('breweries', 'NNS'), ('with', 'IN'), ('import', 'NN'), ('.', '.'), ('io', 'NN'), ('and', 'CC'), ('R', 'NN')]",[]
A Billion Taxi Rides on Amazon EMR running Spark,3 points by marklit 1 day ago  | 1 comment,1,"billion,taxi,rides,amazon,emr,running,spark",A Billion Taxi Rides on Amazon EMR running Spark,A Billion Taxi Rides on Amazon EMR running Spark,"[('A', 'DT'), ('Billion', 'NNP'), ('Taxi', 'NNP'), ('Rides', 'NNP'), ('on', 'IN'), ('Amazon', 'NNP'), ('EMR', 'NNP'), ('running', 'VBG'), ('Spark', 'NNP')]","['Amazon', 'Spark']"
The rise of greedy robots,4 points by yanir 1 day ago  | discuss,1,"rise,greedy,robots",The rise of greedy robot,The rise of greedy robots,"[('The', 'DT'), ('rise', 'NN'), ('of', 'IN'), ('greedy', 'NN'), ('robots', 'NNS')]",[]
Extracting image metadata at scale,2 points by zachwill 1 day ago  | discuss,1,"extracting,image,metadata,scale",Extracting image metadata at scal,Extracting image metadata at scale,"[('Extracting', 'VBG'), ('image', 'NN'), ('metadata', 'NN'), ('at', 'IN'), ('scale', 'NN')]",[]
"Python for Data Structures, Algorithms, and Interviews",17 points by kokoubaby 4 days ago  | discuss,4,"python,data,structures,algorithms,interviews","Python for Data Structures, Algorithms, and Interview","Python for Data Structures, Algorithms, and Interviews","[('Python', 'NNP'), ('for', 'IN'), ('Data', 'NNP'), ('Structures', 'NNP'), (',', ','), ('Algorithms', 'NNP'), (',', ','), ('and', 'CC'), ('Interviews', 'NNS')]","['Python', 'Data Structures', 'Algorithms']"
Lift charts - A data scientist's secret weapon,14 points by datenheini 4 days ago  | 2 comments,4,"lift,charts,data,scientist,secret,weapon",Lift charts - A data scientist's secret weapon,Lift charts - A data scientist's secret weapon,"[('Lift', 'NNP'), ('charts', 'VBZ'), ('-', ':'), ('A', 'DT'), ('data', 'JJ'), ('scientist', 'NN'), (""'"", 'POS'), ('s', 'NN'), ('secret', 'VBZ'), ('weapon', 'NN')]",['Lift']
How To Become A Machine Learning Expert In One Simple Step,4 points by swanint 2 days ago  | discuss,2,"become,machine,learning,expert,one,simple,step",How To Become A Machine Learning Expert In One Simple Step,How To Become A Machine Learning Expert In One Simple Step,"[('How', 'WRB'), ('To', 'TO'), ('Become', 'VB'), ('A', 'NNP'), ('Machine', 'NNP'), ('Learning', 'NNP'), ('Expert', 'NNP'), ('In', 'IN'), ('One', 'CD'), ('Simple', 'JJ'), ('Step', 'NN')]",[]
Data Science Side Project,6 points by yashpatel5400 1 day ago  | 8 comments,1,"data,science,side,project",Data Science Side Project,Data Science Side Project,"[('Data', 'NNP'), ('Science', 'NNP'), ('Side', 'NNP'), ('Project', 'NNP')]",['Data Science Side']
Simple estimation of hierarchical events with petersburg,3 points by wdm0006 1 day ago  | discuss,1,"simple,estimation,hierarchical,events,petersburg",Simple estimation of hierarchical events with petersburg,Simple estimation of hierarchical events with petersburg,"[('Simple', 'JJ'), ('estimation', 'NN'), ('of', 'IN'), ('hierarchical', 'JJ'), ('events', 'NNS'), ('with', 'IN'), ('petersburg', 'NN')]",['Simple']
