created_at	screen_name	text
Fri Nov 18 23:59:58 +0000 2016	arunprasad72	"RT @Praveen_1singh: First the stone pelting stopped and now this!! 
What months of politics and talks couldn't do #demonetization did in da…"
Fri Nov 18 23:59:49 +0000 2016	pranavkisu	"RT @NewDelhiTimesIN: Is the #demonetization of ₹1000 &amp; ₹500 notes good for India? 

@AmitShah @OfficeOfRG @PMOIndia @BJP4India"
Fri Nov 18 23:59:48 +0000 2016	bablumohan	"RT @scoopwhoopnews: #BREAKING Banks across India to serve only senior citizens tomorrow: NDTV
#demonetization"
Fri Nov 18 23:59:37 +0000 2016	NagrathRob	"RT @DrGPradhan: .@ravishndtv of @ndtv spreading rumours to provoke people against #demonetization &amp; PM @narendramodi 

He need mob treatmen…"
Fri Nov 18 23:59:28 +0000 2016	ManishPrasa	RT @YesIamSaffron: जब भी #Demonetization व् काली धन का इतिहास लीखा जाएगा फ़र्ज़ीवाल का नाम सबसे ऊपर काले अछर से लिखा जाएगा @ArvindKejriwal…
Fri Nov 18 23:59:22 +0000 2016	aparnitam	Agree Sir reason of worry for SC could b some or all of them were affected by #demonetization or instructions by ma… https://t.co/ifqDuDbcEm
Fri Nov 18 23:59:12 +0000 2016	mamotra_boy	"@BspUp2017 @OfficeOfRG @MamataOfficial @ArvindKejriwal  #सारे_चोर_मचाये_शोर  #demonetization  #ModiFightsCorruption 
https://t.co/4ElMIvgygX"
Fri Nov 18 23:59:07 +0000 2016	suren2001	RT @janlokpal: Reaction of Aam Aadmi Party leader Ashutosh when he learned about #demonetization https://t.co/OepaLUM56L
Fri Nov 18 23:59:03 +0000 2016	spbsm	RT @RoflGandhi_: When the bank manager says kal aana, cash nahi hai. #demonetization https://t.co/DRyGmtoX7x
Fri Nov 18 23:59:03 +0000 2016	Bhavadasnkm	RT @ANI_news: Aam Aadmi Party naraz ho sakti hai, par aam aadmi naraz nahi hai: Union Minister Venkaiah Naidu #demonetization https://t.co/…
Fri Nov 18 23:58:55 +0000 2016	akshatgaur1	"RT @MinhazMerchant: Anna Hazare tells @CNNnews18 #demonetization is ""a historic decision by govt, those with black money against move."" And…"
Fri Nov 18 23:58:45 +0000 2016	MonkyPickles	Happy Sauce #TheGrandTour #OptOutside #ChildrenInNeed #ReasonsToSkipThanksgiving #MakeAFilmFeelUncertain #demonetization #FridayFeeling
Fri Nov 18 23:58:39 +0000 2016	saurabh109	RT @bhaiyyajispeaks: Here @sardesairajdeep struggling for one answer against #Demonetization, He should have taken some Congress leader lik…
Fri Nov 18 23:58:38 +0000 2016	Sourav_Pd	"RT @Coffeeliciious: Hey black money holders,  save your ass asap... I mean assets. Now you will be in jail soon. 😂😂😂

#demonetization 
 #Se…"
Fri Nov 18 23:58:37 +0000 2016	kvikdev	RT @jgopikrishnan70: Then why not 1000 notes also....really hit by #demonetization https://t.co/k37rKRQip7
Fri Nov 18 23:58:19 +0000 2016	himanshunz	@TVMohandasPai has anyone asked how many have died due to #BlackMoney since 1947. #demonetization
Fri Nov 18 23:58:17 +0000 2016	ssrajput9584	RT @bhaiyyajispeaks: Here @sardesairajdeep struggling for one answer against #Demonetization, He should have taken some Congress leader lik…
Fri Nov 18 23:57:59 +0000 2016	VartiaPal	RT @MumCongress: In last 9 days economy of Mumbai, hits rock bottoms due to #Demonetization. #BlackMoney https://t.co/XC7X6WNcje
Fri Nov 18 23:57:39 +0000 2016	rahulsandnashik	RT @RealHistoryPic: Can't say anything about Productivity but Creativity has increased after #Demonetization.(2016) https://t.co/0fMh3UMbVq
Fri Nov 18 23:57:32 +0000 2016	AAOLion	"RT @harshkkapoor: मिले सुर मेरा तुम्हारा
तो सुर मिले हमारा
#DeMonetization
Friends let's defeat corrupt Hoarders of Blackmoney
https://t.co…"
Fri Nov 18 23:57:30 +0000 2016	EshaSenDethe	RT @bhaiyyajispeaks: Here @sardesairajdeep struggling for one answer against #Demonetization, He should have taken some Congress leader lik…
Fri Nov 18 23:57:08 +0000 2016	srini_4s	RT @prashantktm: Voices from the ground in UP - on #demonetization. Women complain, yet support move in Jaunpur. https://t.co/2cqfAnzBhd
Fri Nov 18 23:57:02 +0000 2016	mineshah	RT @kanimozhi: Thanks to #demonetization 75% reduction in crime rate in India. Black money seems to be the sole reason 4 all problems in In…
Fri Nov 18 23:56:58 +0000 2016	akhandhindustan	RT @bhaiyyajispeaks: Here @sardesairajdeep struggling for one answer against #Demonetization, He should have taken some Congress leader lik…
Fri Nov 18 23:56:58 +0000 2016	kalyugyaar	#AnilBokil if you have suggested the process for #demonetization you shud have taken into consideration of demography, adversity, etc
Fri Nov 18 23:55:30 +0000 2016	Sunnymitra9	@BillGates makes a U-turn on #demonetization , is it because of @realDonaldTrump or China ?? @cnn @CNNnews18 @abpnewstv @ndtv @EconomicTimes
Fri Nov 18 23:55:16 +0000 2016	svmurthy	"Govt can investigate unaccounted generated income by checking all the records.
#demonetization"
Fri Nov 18 23:55:15 +0000 2016	AsgarAimim	RT @RealHistoryPic: Can't say anything about Productivity but Creativity has increased after #Demonetization.(2016) https://t.co/0fMh3UMbVq
Fri Nov 18 23:55:09 +0000 2016	SharmaHDL	"RT @keencrack: 54. Pakistan most unhappy with
#DeMonetization, then armed smugglers, third hawala operators,then terrorists, separatists:
@…"
Fri Nov 18 23:54:31 +0000 2016	npsshetty	RT @sachin_karkera: Positive side of #demonetization https://t.co/aX3O17o4pI
Fri Nov 18 23:54:29 +0000 2016	vishal_klc	RT @RealHistoryPic: Can't say anything about Productivity but Creativity has increased after #Demonetization.(2016) https://t.co/0fMh3UMbVq
Fri Nov 18 23:54:26 +0000 2016	Vidyagauri	RT @hemantmorparia: for evening readers  #demonetization https://t.co/1L7FcJ2KqP
Fri Nov 18 23:54:14 +0000 2016	human24679	RT @prashantktm: Voices from the ground in UP - on #demonetization. Women complain, yet support move in Jaunpur. https://t.co/2cqfAnzBhd
Fri Nov 18 23:53:59 +0000 2016	AAOLion	"RT @harshkkapoor: #Transformational #DeMonetization brings out Entrepreneural Abilities to fore👇
#DigitalIndia
#CashlessSociety https://t.c…"
Fri Nov 18 23:53:38 +0000 2016	ManishPrasa	RT @myvotetoday: #सारे_चोर_मचाये_शोर #KejriPappuDidiTypes take on biggest challenge to derail #demonetization as #ModiFightsCorruption and…
Fri Nov 18 23:53:17 +0000 2016	pbaranw	RT @ANI_news: Aam Aadmi Party naraz ho sakti hai, par aam aadmi naraz nahi hai: Union Minister Venkaiah Naidu #demonetization https://t.co/…
Fri Nov 18 23:51:59 +0000 2016	AnandShenoy11	RT @EdelweissFin: #Demonetization explained -The simple way! https://t.co/Cd1VY9ECbG
Fri Nov 18 23:51:50 +0000 2016	subodh1945	कहो न आस निरास  भई , करना होगा खून का पानी ,देना होगी हर कुरबानी ,,हिम्मत बांध सम्हल बढ़ आगे ,रोक नहीं है कोई #demonetization
Fri Nov 18 23:51:31 +0000 2016	toanandvr	RT @bhaiyyajispeaks: Here @sardesairajdeep struggling for one answer against #Demonetization, He should have taken some Congress leader lik…
Fri Nov 18 23:51:22 +0000 2016	abhayinsearch	RT @kanimozhi: Thanks to #demonetization 75% reduction in crime rate in India. Black money seems to be the sole reason 4 all problems in In…
Fri Nov 18 23:50:22 +0000 2016	Parteek18	RT @DDNewsHindi: कतारें दिन पर दिन छोटी ही हो रही हैं, लंबी नहीं: चंदा कोच्चर (MD, ICICI बैंक) #demonetization https://t.co/UzHXWNmb4v
Fri Nov 18 23:49:59 +0000 2016	ahamadpuri	RT @RealHistoryPic: Can't say anything about Productivity but Creativity has increased after #Demonetization.(2016) https://t.co/0fMh3UMbVq
Fri Nov 18 23:49:53 +0000 2016	Ram4Bharatiyata	"RT @RenukaJain6: World applauding our Prime Minister. Keep shinning. The world needs your light.  

#IAmTheChange #demonetization https://t…"
Fri Nov 18 23:49:00 +0000 2016	SharmaShirish	RT @kanimozhi: Thanks to #demonetization 75% reduction in crime rate in India. Black money seems to be the sole reason 4 all problems in In…
Fri Nov 18 23:48:59 +0000 2016	TejaSrinivas4	RT @prashantktm: Voices from the ground in UP - on #demonetization. Women complain, yet support move in Jaunpur. https://t.co/2cqfAnzBhd
Fri Nov 18 23:47:25 +0000 2016	shivoahm	RT @siddharthzadoo: Respected @FinMinIndia @arunjaitley @RBI  Please Help as the marriage is scheduled on 23rd Nov !! #Demonetization https…
Fri Nov 18 23:47:20 +0000 2016	scribe_it	Since MSM is ignoring, Ppl turning towards @NationalDastak Large hits on their YouTube vids showing ground realitie… https://t.co/Jmk06n93sS
Fri Nov 18 23:47:19 +0000 2016	spbsm	"RT @ajaymaken: Thoughtful analysis on #demonetization by .@bainjal

A must read article! https://t.co/nihLSKUVtf"
Fri Nov 18 23:47:14 +0000 2016	n2r3ndr2	@ArvindKejriwal @BDUTT  Sir ji apke liye #demonetization https://t.co/qASLPt342I
Fri Nov 18 23:46:43 +0000 2016	spbsm	"RT @bainjal: RT if you agree that @PMOIndia created an artificial crisis fav if you think this will hurt black money.
#demonetization"
Fri Nov 18 23:46:23 +0000 2016	spbsm	RT @RanaAyyub: how anti national of the supreme court #demonetization https://t.co/f1GQBWhEp5
Fri Nov 18 23:45:41 +0000 2016	NZSuresh	RT @1ndiaFirst: Hunt for black money begins with notices⬇️ #demonetization #सारे_चोर_मचाये_शोर #BlackmoneyDebate @ExSecular https://t.co/Yw…
Fri Nov 18 23:45:35 +0000 2016	prabhatverma76	@CNNnews18 yes, being pro black money is not a crime!?!?!?!?We reiterate that comman ppl don't feel any problem now… https://t.co/I02udiLOk5
Fri Nov 18 23:45:35 +0000 2016	JugalKhetan	"RT @Gravim71: #हृदय_सम्राट_मोदी 
#हृदय_सम्राट_मोदी #हृदय_सम्राट_मोदी 

@pandey_braj @mike921112 @MikeAndMike @IndiaHX1

#DeMonetization 
Ch…"
Fri Nov 18 23:45:20 +0000 2016	Indian_Liars	"RT @Pawansh07: A reality check on #Demonetization in front of Bank.

महिला : यहाँ लाइन में कोई काले धन वाला करोडपति या नेता नहीं है, सबके घ…"
Fri Nov 18 23:45:18 +0000 2016	kunjanpankaj	#demonetization 😜पूरे का पूरा कंजणवाल का माल गया , तुतिया बनाकर जो जमा किये भईया ई मोदी मार गया @ArvindKejriwal 😭😭 https://t.co/nJDXMmnjCW
Fri Nov 18 23:45:14 +0000 2016	imtweet_chor	RT @prashantktm: Voices from the ground in UP - on #demonetization. Women complain, yet support move in Jaunpur. https://t.co/2cqfAnzBhd
Fri Nov 18 23:44:57 +0000 2016	sama_patkar	"Luxury goods and the wedding industry majorly affected by the demonetization in India #demonetization 
https://t.co/DLGmSgBPnN"
Fri Nov 18 23:44:38 +0000 2016	dailyonion	.. Mumbai lost 5500Cr in 9 days. #demonetization https://t.co/LqkFneu7b3
Fri Nov 18 23:44:25 +0000 2016	imrichardphilip	@NY_IH Agree with me on #demonetization? Feel free to RT. https://t.co/jKmMqa8OYR
Fri Nov 18 23:44:21 +0000 2016	AditiTwt	मी लार्ड, बैंकों ही नहीं कोर्ट के बाहर भी कतार है! https://t.co/UwdIlLnvVo #demonetization #indianjudiciary
Fri Nov 18 23:44:15 +0000 2016	MaheshCMahtolia	"RT @Coffeeliciious: Hey delhiites, who would you like to change first ?  😁

#demonetization 
#ThatsSmart"
Fri Nov 18 23:43:49 +0000 2016	niyantashetye	#demonetization https://t.co/DijvKgqBj6
Fri Nov 18 23:43:29 +0000 2016	imrichardphilip	@RealHistoryPic Agree with me on #demonetization? Feel free to RT. https://t.co/jKmMqaqqnr
Fri Nov 18 23:43:18 +0000 2016	Indian_Liars	"Banks taking money in, but giving out less...WHY?

Shows the whole scheme is for calibrating the system for NPAs

#demonetization"
Fri Nov 18 23:43:13 +0000 2016	jayeshmahajan	RT @NavbharatTimes: दिल्ली के पहाड़गंज में ज्यादातर ATMs में खत्म हुआ कैश, लंबी कतारों का दौर जारी। #cashCrisis #cashchaos #demonetization…
Fri Nov 18 23:43:08 +0000 2016	imrichardphilip	@sudarsansand Agree with me on #demonetization? Feel free to RT. https://t.co/jKmMqa8OYR
Fri Nov 18 23:42:52 +0000 2016	tajinde79265331	"RT @MinhazMerchant: Anna Hazare tells @CNNnews18 #demonetization is ""a historic decision by govt, those with black money against move."" And…"
Fri Nov 18 23:41:56 +0000 2016	gsurya	RT @vikramhegde: Article summary: #demonetization is going to be awesome. Modi is winning it. It's going to be great. Some are whining. But…
Fri Nov 18 23:41:42 +0000 2016	indiacom	"#Demonetization to make housing affordable, transparent mode of financing on the go
https://t.co/Zd6LtTaUDc https://t.co/DsL6ZVjav2"
Fri Nov 18 23:41:18 +0000 2016	mahendra3	RT @kanimozhi: Thanks to #demonetization 75% reduction in crime rate in India. Black money seems to be the sole reason 4 all problems in In…
